x_m,y_m,vx_mps
-73.683126,53.292625,2.0
-73.198370,53.419083,2.0
-72.681999,53.498119,2.0
-72.160359,53.556079,2.0
-71.638719,53.608770,2.0
-71.117079,53.656192,2.0
-70.595439,53.698345,2.0
-70.073799,53.740497,2.0
-69.552159,53.777381,2.0
-69.030519,53.803726,2.0
-68.508879,53.819534,2.0
-67.987239,53.830072,2.0
-67.465599,53.835341,2.0
-66.943959,53.840610,2.0
-66.422319,53.840610,2.0
-65.900679,53.840610,2.0
-65.379039,53.840610,2.0
-64.857399,53.840610,2.0
-64.335759,53.835341,2.0
-63.814119,53.830072,2.0
-63.292479,53.819534,2.0
-62.770839,53.814265,2.0
-62.249199,53.803726,2.0
-61.727559,53.787919,2.0
-61.205919,53.766843,2.0
-60.684279,53.740497,2.0
-60.162639,53.708883,2.0
-59.640999,53.671999,2.0
-59.119359,53.629846,2.0
-58.597719,53.582425,2.0
-58.076079,53.524465,2.0
-57.554439,53.461235,2.0
-57.032799,53.392737,2.0
-56.511159,53.318970,2.0
-55.989519,53.239934,2.0
-55.467879,53.155628,2.0
-54.946239,53.071323,2.0
-54.424599,52.981748,2.0
-53.902959,52.886905,2.0
-53.381319,52.786792,2.0
-52.859679,52.681410,2.0
-52.338039,52.581297,2.0
-51.816399,52.481185,2.0
-51.294759,52.375803,2.0
-50.773119,52.270421,2.0
-50.251479,52.165039,2.0
-49.729839,52.064926,2.0
-49.208199,51.959545,2.0
-48.686559,51.854163,2.0
-48.164919,51.748781,2.0
-47.643279,51.648668,2.0
-47.121639,51.548555,2.0
-46.599999,51.443174,2.0
-46.078359,51.337792,2.0
-45.556719,51.237679,2.0
-45.035079,51.137566,2.0
-44.513439,51.037454,2.0
-43.991799,50.932072,2.0
-43.470159,50.831959,2.0
-42.948519,50.731846,2.0
-42.426879,50.631734,2.0
-41.905239,50.526352,2.0
-41.383599,50.426239,2.0
-40.861959,50.326126,2.0
-40.340319,50.226014,2.0
-39.818679,50.120632,2.0
-39.297039,50.020519,2.0
-38.775399,49.920406,2.0
-38.253759,49.825563,2.0
-37.732119,49.725450,2.0
-37.210479,49.625337,2.0
-36.688839,49.530494,2.0
-36.167199,49.440919,2.0
-35.645559,49.346075,2.0
-35.123919,49.256501,2.0
-34.602279,49.172195,2.0
-34.080639,49.093159,2.0
-33.558999,49.014123,2.0
-33.037359,48.945625,2.0
-32.515719,48.877126,2.0
-31.994079,48.813897,2.0
-31.472439,48.761206,2.0
-30.950799,48.708515,2.0
-30.429159,48.661094,2.0
-29.907519,48.618941,2.0
-29.385879,48.582057,2.0
-28.864239,48.545174,2.0
-28.342599,48.513559,2.0
-27.820959,48.481945,2.0
-27.299319,48.450330,2.0
-26.777679,48.423985,2.0
-26.256039,48.397639,2.0
-25.734399,48.371294,2.0
-25.212759,48.350217,2.0
-24.691119,48.323872,2.0
-24.169479,48.302795,2.0
-23.647839,48.281719,2.0
-23.126199,48.260643,2.0
-22.604559,48.239566,2.0
-22.082919,48.218490,2.0
-21.561279,48.197414,2.0
-21.039639,48.176337,2.0
-20.517999,48.155261,2.0
-19.996359,48.134185,2.0
-19.474719,48.107839,2.0
-18.953079,48.086763,2.0
-18.431439,48.060417,2.0
-17.909799,48.034072,2.0
-17.388159,48.012995,2.0
-16.866519,47.986650,2.0
-16.344879,47.955035,2.0
-15.823239,47.907614,2.0
-15.306868,47.828577,2.0
-14.806305,47.712657,2.0
-14.342625,47.549315,2.0
-13.926366,47.343821,2.0
-13.568068,47.090905,2.0
-13.272999,46.795835,2.0
-13.046428,46.458614,2.0
-12.893625,46.079239,2.0
-12.814588,45.662981,2.0
-12.809319,45.215108,2.0
-12.883086,44.740890,2.0
-13.030621,44.261403,2.0
-13.241385,43.781915,2.0
-13.494301,43.312966,2.0
-13.778832,42.854555,2.0
-14.084439,42.406683,2.0
-14.411123,41.969348,2.0
-14.753614,41.542552,2.0
-15.106643,41.126294,2.0
-15.470210,40.720574,2.0
-15.849585,40.325392,2.0
-16.239497,39.946017,2.0
-16.639948,39.582450,2.0
-17.050937,39.234690,2.0
-17.472465,38.902737,2.0
-17.904530,38.586592,2.0
-18.352403,38.286254,2.0
-18.810814,38.006992,2.0
-19.279763,37.743537,2.0
-19.759250,37.490621,2.0
-20.249276,37.258781,2.0
-20.744570,37.053286,2.0
-21.245134,36.863599,2.0
-21.750966,36.684450,2.0
-22.262068,36.526377,2.0
-22.778439,36.384112,2.0
-23.300079,36.257654,2.0
-23.821719,36.147003,2.0
-24.343359,36.046890,2.0
-24.864999,35.962585,2.0
-25.386639,35.904625,2.0
-25.908279,35.857203,2.0
-26.429919,35.825588,2.0
-26.951559,35.809781,2.0
-27.473199,35.809781,2.0
-27.994839,35.820319,2.0
-28.516479,35.841395,2.0
-29.038119,35.873010,2.0
-29.559759,35.915163,2.0
-30.081399,35.967854,2.0
-30.603039,36.025814,2.0
-31.124679,36.089043,2.0
